ED_COUNTER,ED_AF3, ED_F7, ED_F3, ED_FC5, ED_T7,ED_P7, ED_O1, ED_O2, ED_P8, ED_T8, ED_FC6, ED_F4,ED_F8, ED_AF4,mix1,mix2
-5.000,"4,512.8204","4,195.3845","4,329.2307","4,194.3589","4,576.9230","4,155.8973","4,151.2819","4,375.3845","4,730.7691","4,351.7948","4,655.3845","4,486.6666","4,735.8973","4,413.3332",99.487,
-4.992,"4,502.0512","4,187.6922","4,325.1281","4,195.8973","4,573.3332","4,164.6153","4,150.2563","4,377.4358","4,730.7691","4,348.2050","4,648.7178","4,483.0768","4,726.6666","4,404.6153",97.436,
-4.984,"4,504.1025","4,189.7435","4,334.8717","4,200.5127","4,582.0512","4,158.9743","4,153.8461","4,379.9999","4,726.6666","4,349.7435","4,651.7948","4,487.6922","4,729.2307","4,406.6666",97.436,
-4.977,"4,517.4358","4,197.9486","4,352.8204","4,202.5640","4,588.7178","4,167.6922","4,158.9743","4,384.6153","4,733.8460","4,358.4614","4,665.1281","4,498.4614","4,735.8973","4,417.9486",99.487,
-4.969,"4,512.3076","4,191.2819","4,344.1025","4,197.4358","4,574.3589","4,163.0768","4,153.3332","4,377.4358","4,726.6666","4,348.7178","4,659.4871","4,490.2563","4,721.5383","4,408.7178",103.590,
-4.961,"4,496.9230","4,176.9230","4,321.5384","4,192.8204","4,565.6409","4,141.5384","4,144.6153","4,357.4358","4,709.2307","4,331.7948","4,640.5127","4,472.3076","4,705.1281","4,391.7948",105.128,
-4.953,"4,485.1281","4,166.1537","4,311.7948","4,197.4358","4,572.3076","4,140.5127","4,138.9743","4,343.5896","4,703.0768","4,324.1025","4,630.7691","4,462.0512","4,697.4358","4,384.1025",101.026,
-4.945,"4,490.7691","4,173.8461","4,325.1281","4,200.5127","4,587.1794","4,158.4614","4,139.9999","4,361.5384","4,723.5896","4,342.0512","4,646.1537","4,472.8204","4,705.1281","4,395.3845",95.385,
-4.938,"4,485.1281","4,172.8204","4,320.5127","4,200.5127","4,566.6666","4,157.4358","4,136.4102","4,367.1794","4,725.1281","4,349.7435","4,641.0255","4,471.2819","4,699.9999","4,388.2050",96.923,
-4.930,"4,480.5127","4,167.1794","4,312.3076","4,197.9486","4,549.7435","4,149.2307","4,138.9743","4,356.9230","4,711.2819","4,349.7435","4,635.3845","4,464.6153","4,695.3845","4,377.4358",103.077,
-4.922,"4,491.2819","4,173.8461","4,320.5127","4,193.8461","4,575.8973","4,141.0255","4,141.0255","4,355.3845","4,713.3332","4,346.6666","4,642.0512","4,466.6666","4,702.0512","4,388.2050",103.077,
-4.914,"4,479.9999","4,169.2307","4,309.7435","4,197.4358","4,577.4358","4,127.6922","4,127.1794","4,348.2050","4,712.8204","4,325.1281","4,624.6153","4,455.3845","4,687.1794","4,378.4614",101.539,
-4.906,"4,477.4358","4,174.3589","4,314.8717","4,200.5127","4,568.7178","4,159.9999","4,136.4102","4,359.9999","4,722.5640","4,335.3845","4,631.2819","4,463.5896","4,687.6922","4,376.4101",101.026,
-4.898,"4,481.5384","4,176.9230","4,324.6153","4,197.4358","4,570.2563","4,187.6922","4,147.1794","4,369.2307","4,725.1281","4,349.2307","4,650.7691","4,468.7178","4,698.9742","4,378.4614",103.077,
-4.891,"4,472.3076","4,163.5896","4,308.7178","4,195.3845","4,571.7948","4,166.1537","4,136.9230","4,359.4871","4,714.3589","4,338.4614","4,639.4871","4,452.3076","4,686.1537","4,364.1025",108.205,
-4.883,"4,475.3845","4,165.1281","4,308.7178","4,195.8973","4,587.1794","4,162.0512","4,139.9999","4,365.6409","4,726.6666","4,354.8717","4,633.3332","4,462.0512","4,679.4871","4,368.7178",106.667,
-4.875,"4,466.6666","4,155.3845","4,307.6922","4,198.4614","4,581.0255","4,156.9230","4,138.4614","4,357.9486","4,723.5896","4,354.8717","4,625.6409","4,457.9486","4,669.7435","4,362.0512",104.615,
-4.867,"4,460.5127","4,153.3332","4,303.5896","4,198.9743","4,580.5127","4,144.1025","4,132.8204","4,349.7435","4,710.7691","4,335.3845","4,620.5127","4,439.4871","4,671.2819","4,350.2563",110.256,
-4.859,"4,468.2050","4,168.7178","4,306.1537","4,197.4358","4,591.7948","4,155.3845","4,135.8973","4,359.4871","4,717.4358","4,343.0768","4,627.1794","4,440.5127","4,679.4871","4,353.8460",114.359,
-4.852,"4,472.3076","4,172.8204","4,307.1794","4,197.4358","4,585.6409","4,179.9999","4,143.5896","4,362.5640","4,723.5896","4,348.2050","4,628.7178","4,445.6409","4,675.8973","4,356.9230",115.385,
-4.844,"4,479.9999","4,175.8973","4,317.4358","4,196.9230","4,581.0255","4,191.2819","4,153.8461","4,377.9486","4,736.9230","4,348.7178","4,637.9486","4,462.0512","4,686.6666","4,371.2819",108.718,
-4.836,"4,473.3332","4,161.5384","4,316.4102","4,199.4871","4,570.7691","4,172.8204","4,147.1794","4,385.1281","4,735.3845","4,339.9999","4,637.9486","4,468.2050","4,688.2050","4,372.8204",100.513,
-4.828,"4,465.6409","4,148.7178","4,308.7178","4,201.0255","4,565.6409","4,156.9230","4,139.4871","4,371.2819","4,721.5383","4,338.9743","4,636.9230","4,458.9742","4,680.5127","4,362.0512",103.590,
-4.820,"4,462.5640","4,144.6153","4,303.0768","4,196.9230","4,563.0768","4,137.4358","4,132.8204","4,353.3332","4,714.8717","4,345.6409","4,635.8973","4,450.2563","4,668.2050","4,353.8460",108.718,
-4.813,"4,453.3332","4,140.5127","4,295.3845","4,195.3845","4,557.9486","4,127.6922","4,125.1281","4,343.5896","4,703.5896","4,327.1794","4,616.4101","4,442.5640","4,646.6666","4,347.6922",105.641,
-4.805,"4,458.4614","4,156.4102","4,302.0512","4,197.4358","4,577.4358","4,161.5384","4,136.9230","4,355.3845","4,703.0768","4,318.4614","4,617.4358","4,447.1794","4,657.4358","4,356.4101",102.051,
-4.797,"4,450.2563","4,139.9999","4,295.3845","4,199.4871","4,575.3845","4,174.8717","4,140.5127","4,354.8717","4,701.5383","4,324.1025","4,619.9999","4,443.5896","4,665.6409","4,352.3076",97.949,
-4.789,"4,449.2307","4,123.0768","4,294.3589","4,196.9230","4,563.0768","4,170.7691","4,144.6153","4,355.8973","4,715.3845","4,337.9486","4,622.5640","4,448.2050","4,663.5896","4,353.8460",95.385,
-4.781,"4,469.7435","4,153.3332","4,309.7435","4,193.8461","4,579.9999","4,175.8973","4,152.8204","4,367.1794","4,730.2563","4,346.6666","4,630.7691","4,460.5127","4,669.7435","4,367.6922",102.051,
